,Start,Stop,Pearson,expected-arrival
200,2017-02-25 02:51:00,2017-02-25 03:51:00,19,8
201,2017-02-25 02:52:00,2017-02-25 03:52:00,19,8
202,2017-02-25 02:53:00,2017-02-25 03:53:00,19,8
203,2017-02-25 02:54:00,2017-02-25 03:54:00,19,8
204,2017-02-25 02:55:00,2017-02-25 03:55:00,19,8
205,2017-02-25 02:56:00,2017-02-25 03:56:00,19,8
206,2017-02-25 02:57:00,2017-02-25 03:57:00,19,8
207,2017-02-25 02:58:00,2017-02-25 03:58:00,19,8
208,2017-02-25 02:59:00,2017-02-25 03:59:00,19,8
209,2017-02-25 03:00:00,2017-02-25 04:00:00,19,8
210,2017-02-25 03:01:00,2017-02-25 04:01:00,19,8
211,2017-02-25 03:02:00,2017-02-25 04:02:00,24,8
212,2017-02-25 03:03:00,2017-02-25 04:03:00,24,8
213,2017-02-25 03:04:00,2017-02-25 04:04:00,24,8
214,2017-02-25 03:05:00,2017-02-25 04:05:00,25,8
215,2017-02-25 03:06:00,2017-02-25 04:06:00,25,8
216,2017-02-25 03:07:00,2017-02-25 04:07:00,25,8
217,2017-02-25 03:08:00,2017-02-25 04:08:00,25,8
218,2017-02-25 03:09:00,2017-02-25 04:09:00,25,8
219,2017-02-25 03:10:00,2017-02-25 04:10:00,25,8
220,2017-02-25 03:11:00,2017-02-25 04:11:00,25,8
221,2017-02-25 03:12:00,2017-02-25 04:12:00,25,8
222,2017-02-25 03:13:00,2017-02-25 04:13:00,25,8
223,2017-02-25 03:14:00,2017-02-25 04:14:00,22,8
224,2017-02-25 03:15:00,2017-02-25 04:15:00,23,8
225,2017-02-25 03:16:00,2017-02-25 04:16:00,24,8
226,2017-02-25 03:17:00,2017-02-25 04:17:00,25,8
227,2017-02-25 03:18:00,2017-02-25 04:18:00,25,8
228,2017-02-25 03:19:00,2017-02-25 04:19:00,25,8
229,2017-02-25 03:20:00,2017-02-25 04:20:00,25,8
230,2017-02-25 03:21:00,2017-02-25 04:21:00,25,8
231,2017-02-25 03:22:00,2017-02-25 04:22:00,25,8
232,2017-02-25 03:23:00,2017-02-25 04:23:00,25,8
233,2017-02-25 03:24:00,2017-02-25 04:24:00,25,8
234,2017-02-25 03:25:00,2017-02-25 04:25:00,25,8
235,2017-02-25 03:26:00,2017-02-25 04:26:00,25,8
236,2017-02-25 03:27:00,2017-02-25 04:27:00,25,8
237,2017-02-25 03:28:00,2017-02-25 04:28:00,25,8
238,2017-02-25 03:29:00,2017-02-25 04:29:00,25,8
239,2017-02-25 03:30:00,2017-02-25 04:30:00,25,8
240,2017-02-25 03:31:00,2017-02-25 04:31:00,25,8
241,2017-02-25 03:32:00,2017-02-25 04:32:00,26,8
242,2017-02-25 03:33:00,2017-02-25 04:33:00,25,8
243,2017-02-25 03:34:00,2017-02-25 04:34:00,25,8
244,2017-02-25 03:35:00,2017-02-25 04:35:00,27,8
245,2017-02-25 03:36:00,2017-02-25 04:36:00,15,8
246,2017-02-25 03:37:00,2017-02-25 04:37:00,5,8
247,2017-02-25 03:38:00,2017-02-25 04:38:00,5,8
248,2017-02-25 03:39:00,2017-02-25 04:39:00,16,8
249,2017-02-25 03:40:00,2017-02-25 04:40:00,16,8
250,2017-02-25 03:41:00,2017-02-25 04:41:00,16,8
251,2017-02-25 03:42:00,2017-02-25 04:42:00,16,8
252,2017-02-25 03:43:00,2017-02-25 04:43:00,16,8
253,2017-02-25 03:44:00,2017-02-25 04:44:00,16,8
254,2017-02-25 03:45:00,2017-02-25 04:45:00,16,8
255,2017-02-25 03:46:00,2017-02-25 04:46:00,22,8
256,2017-02-25 03:47:00,2017-02-25 04:47:00,22,8
257,2017-02-25 03:48:00,2017-02-25 04:48:00,22,8
258,2017-02-25 03:49:00,2017-02-25 04:49:00,22,8
259,2017-02-25 03:50:00,2017-02-25 04:50:00,17,8
260,2017-02-25 03:51:00,2017-02-25 04:51:00,17,8
261,2017-02-25 03:52:00,2017-02-25 04:52:00,16,8
262,2017-02-25 03:53:00,2017-02-25 04:53:00,16,8
263,2017-02-25 03:54:00,2017-02-25 04:54:00,22,8
264,2017-02-25 03:55:00,2017-02-25 04:55:00,22,8
265,2017-02-25 03:56:00,2017-02-25 04:56:00,22,8
266,2017-02-25 03:57:00,2017-02-25 04:57:00,22,8
267,2017-02-25 03:58:00,2017-02-25 04:58:00,16,8
268,2017-02-25 03:59:00,2017-02-25 04:59:00,16,8
269,2017-02-25 04:00:00,2017-02-25 05:00:00,16,8
270,2017-02-25 04:01:00,2017-02-25 05:01:00,16,8
271,2017-02-25 04:02:00,2017-02-25 05:02:00,17,8
272,2017-02-25 04:03:00,2017-02-25 05:03:00,5,8
273,2017-02-25 04:04:00,2017-02-25 05:04:00,5,8
274,2017-02-25 04:05:00,2017-02-25 05:05:00,5,8
275,2017-02-25 04:06:00,2017-02-25 05:06:00,5,8
276,2017-02-25 04:07:00,2017-02-25 05:07:00,5,8
277,2017-02-25 04:08:00,2017-02-25 05:08:00,5,8
278,2017-02-25 04:09:00,2017-02-25 05:09:00,5,8
279,2017-02-25 04:10:00,2017-02-25 05:10:00,5,8
280,2017-02-25 04:11:00,2017-02-25 05:11:00,5,8
281,2017-02-25 04:12:00,2017-02-25 05:12:00,5,8
282,2017-02-25 04:13:00,2017-02-25 05:13:00,5,8
283,2017-02-25 04:14:00,2017-02-25 05:14:00,5,8
284,2017-02-25 04:15:00,2017-02-25 05:15:00,5,8
285,2017-02-25 04:16:00,2017-02-25 05:16:00,5,8
286,2017-02-25 04:17:00,2017-02-25 05:17:00,5,8
287,2017-02-25 04:18:00,2017-02-25 05:18:00,5,8
288,2017-02-25 04:19:00,2017-02-25 05:19:00,5,8
